Member,Party,State,Constituency
Olakunle Amunkoro,AD,Lagos,Agege
Ganiyu Solomon,AD,Lagos,Mushin I
Monsuru Alao Owolabi,AD,Lagos,Lagos Island II
Onimole Olufemi Olawale,AD,Lagos,Ifako-Ijaiye
Joseph Jaiyeola Ajatta,AD,Lagos,Oshodi-Isolo II
Mudashiru Husaini,AD,Lagos,Oshodi-Isolo I
Ogunbajo Olu,AD,Lagos,Ajeromi-Ifelodun
Wunmi Bewaji Mabayoje,AD,Lagos,Lagos Mainland
Oludotun Animashaun,AD,Lagos,Kosofe
Salau Tunde,PDP,Lagos,Epe
Setonji Koshoedo,PDP,Lagos,Badagry
Amele Moshood Tokunbo,AD,Lagos,Ibeju-Lekki
Habeeb Adekunle Fashiro,AD,Lagos,Eti-Osa
Hamzat Ganiyu,AD,Lagos,Mushin II
Shuaibu Abdullahi,PDP,Nasarawa,Awe / Doma / Keana
Patricia Naomi Akwashiki,PDP,Nasarawa,Akwanga / Wamba / Nassarawa-Eggon
Almakura Ahmed,PDP,Nasarawa,Lafia / Obi
Ahmed Danyaya Aliyu,PDP,Nasarawa,Keffi / Karu / Kokona
Samuel Egya,PDP,Nasarawa,Nasarawa / Toto
Peter Ndakakali Tiya,PDP,Niger,Bida / Gbako / Katcha
Saidu Isa Ndaman,PDP,Niger,Lavun / Mokwa / Edati
Alhaji Baba Shehu Agaie,PDP,Niger,Agaie / Lapai
James Baitachi,PDP,Niger,Bosso / Paikoro
Bawa Bwari Abubakar,PDP,Niger,Gurara / Suleja / Tafa
Jibo Mohammed,PDP,Niger,Borgu / Agwara
Ahmed Musa Ibeto,PDP,Niger,Rijau / Magama
Mohammed Bello,PDP,Niger,Kontagora / Wushishi / Mashegu / Mariga
Ibrahim Shehu Kagara,PDP,Niger,Shiroro / Rafi / Munya
Musa Mohmood,PRP,Niger,Chanhaga
Olalekan Mustapha,PDP,Ogun,Ijebu North / Ijebu East / Ogun Waterside
Ojugbele Jimoh Olusola,PDP,Ogun,Ado-Odo/Ota
Salako Dave Oladapo,PDP,Ogun,Remo
Anthony Wale Ogunbanjo,PDP,Ogun,Ijebu-Central
Abayomi Sowande Collins,PDP,Ogun,Ifo / Ewekoro
Kayode Amusan,PDP,Ogun,Abeokuta / Odeda / Obafemi Owode
Bankole Dimeji,PDP,Ogun,Abeokuta South
Akinlade Abiodun Isiaq,PDP,Ogun,Yewa South / Ipokia
Adewusi Rasak Tunde,PDP,Ogun,Yewa North / Imeko Afon
Zebulun Obolo,PDP,Ondo,Ese Odo / Ilaje
Francis Dayo Ogunniyi,PDP,Ondo,Ondo Kingdom West / Ondo Kingdom East
Ifedayo Abegunde,PDP,Ondo,Akure North / Akure South
Orimoloye Peter Saka,AD,Ondo,Akoko South East / Akoko South West
Adedeji Omotayo,PDP,Ondo,Ile Oluji/Okeigbo / Odigbo
Rufus Adebayo,PDP,Ondo,Idanre / Ifedore
Olakunde Oluwole,PDP,Ondo,Okitipupa / Irele
Oladoyinbo-Ojomo Alaba,PDP,Ondo,Owo / Ose
Lanre Adeyemi,PDP,Ondo,Akoko North West / Akoko North East
Ayinde Gbadebo,PDP,Osun,Ede / Egbedore / Ejigbo
Jolaoya Geore,PDP,Osun,Aiyedire / Iwo / Ola Oluwa
Oluwole Oke,PDP,Osun,Obokun / Oriade
Fasagbon John Olawole,PDP,Osun,Ife
Chief Ranti Alabi,PDP,Osun,Odo Otin / Ifelodun / Boripe
Patricia Olubunmi Etteh,PDP,Osun,Aiyedaade / Isokan / Irewole
Awoyemi Leo Adejare,PDP,Osun,Osogbo / Olorunda / Orolu / Irepodun
Prof. Sola Adeyeye,AD,Osun,Boluwaduro / Ifedayo / Ila
Emiola Fakeye,PDP,Osun,Ijesha South
Buhari Abdulfatai,PDP,Oyo,Ogbomosho I
Con. Philemon Adeniran,AD,Oyo,Irepo / Olorunsogo / Orelope
Adegbenjo Omodele,AD,Oyo,Ibarapa Central / Ibarapa North
Ayo Ademola Adeseun,AD,Oyo,Ogo Oluwa / Surulere
